"id","x_avg","y_avg","z_avg","vb_avg","x_stddev","y_stddev","z_stddev","vb_stddev","x_var","y_var","z_var","vb_var","x_rms","y_rms","z_rms","vb_rms"
"1","100.694","148.783","263.195","-0.04205","10.1","11.1745","14.6881","1.45493","102.011","124.87","215.74","2.11684","23.807","31.275","47.19","4.11405"
"3","138.25","165.647","275.83","0.00831","9.79759","9.32068","14.8531","1.25558","95.9928","86.875","220.615","1.57649","34.0315","31.2","46.96","3.4284"
"2","113.204","154.893","271.905","-0.02611","10.1962","13.1883","21.7702","1.45953","103.963","173.932","473.94","2.13024","32.046","38.06","62.24","4.2912"
"0","93.6926","140.035","248.532","-0.02824","6.78924","10.0188","11.8868","3.64556","46.0938","100.376","141.295","13.2901","19.231","30.66","35.125","10.797"
"0","94.7676","139.487","248.815","-0.03912","6.55577","8.63156","11.5797","3.78069","42.9781","74.5038","134.09","14.2936","17.4725","23.11","32.07","10.832"
"0","93.0183","145.81","252.944","-0.03332","5.87036","9.50842","12.6155","3.55635","34.4612","90.41","159.15","12.6476","15.489","26.315","36.73","10.157"
"1","100.448","146.433","258.688","-0.06992","9.64731","10.3195","15.1002","1.56675","93.0706","106.493","228.015","2.45469","27.09","31.12","40.09","4.74175"
"1","99.6073","145.286","261.026","-0.0223","9.09705","11.7918","15.4076","1.65548","82.7562","139.048","237.395","2.74061","23.1205","31.195","49.025","4.91125"
"2","114.285","157.176","274.697","-0.00573","10.0391","13.4035","21.9497","1.41502","100.783","179.655","481.79","2.00228","31.4395","37.375","72.695","3.86515"
"1","100.334","148.811","264.426","0.02085","10.4157","12.2912","16.0856","1.71229","108.486","151.072","258.745","2.93192","33.1915","34.48","43.835","5.4671"
"3","139.78","167.25","276.189","0.04869","8.70827","11.3359","15.5825","1.22424","75.8339","128.503","242.815","1.49875","30.673","34.095","44.21","3.49405"
"1","100.978","148.663","265.956","0.04051","9.5227","10.8675","13.6852","1.54024","90.6819","118.103","187.285","2.37234","29.9105","33.105","41.92","4.81045"
"3","138.689","173.857","286.209","-0.01193","10.279","11.3819","15.0622","1.31159","105.658","129.548","226.87","1.72026","36.7045","34.245","41.695","3.7323"
"2","111.055","154.728","274.008","-0.01879","10.0837","13.3513","20.9164","1.41738","101.68","178.258","437.495","2.00898","28.3835","37.375","69.03","3.52155"
"1","101.16","151.459","267.218","-0.00746","9.8375","10.2896","13.7146","1.4183","96.7765","105.875","188.09","2.01157","29.758","28.91","47.04","3.5399"
"0","95.972","142.271","252.631","0.01488","6.3143","10.7079","11.4298","3.75946","39.8704","114.659","130.64","14.1335","18.006","31.5","37.185","11.3775"
"2","110.273","151.982","270.163","-0.07418","11.2132","14.7544","22.8517","1.43148","125.735","217.693","522.2","2.04913","35.0265","43.935","63.46","4.1339"
"2","113.254","159.668","283.321","0.03953","11.9624","14.0698","23.5741","1.46784","143.099","197.96","555.74","2.15456","28.4595","38.905","72.625","4.4638"
"0","95.8908","150.459","256.559","-0.11838","6.76607","8.85777","11.5549","3.70944","45.7797","78.46","133.515","13.7599","19.1545","22.58","32.76","10.733"
"2","113.781","158.9","278.18","-0.0551","10.1495","13.6979","19.7636","1.25062","103.013","187.633","390.6","1.56405","28.0045","40.5","59.255","3.38565"
"3","135.923","165.035","277.067","-0.00251","8.93993","10.8089","16.7681","1.22725","79.9223","116.832","281.17","1.50613","23.275","33.795","53.375","4.0454"
"2","113.125","153.873","272.814","-0.092","10.8941","14.8847","21.8818","1.34072","118.681","221.555","478.815","1.79754","30.5995","45.54","65.365","4.1339"
"3","140.628","172.026","284.218","0.04603","8.08165","11.4373","14.9099","1.08615","65.3131","130.812","222.305","1.17973","26.475","32.265","39.1","3.0985"
